30597755,Is chronic kidney disease keeping the heart up all night?,Is chronic kidney disease keeping the heart up all night?
30597342,Enhanced thrombin generation in patients with arterial hypertension.,"Arterial hypertension is associated with greater risk of cardiovascular diseases and thrombotic complications, suggesting that hypertension is a prothrombotic state."
30597236,Establishment and validation of ARMS (amplification-refractory mutation system) for identification of Anisakis species collected from Korean waters.,"The identification of Anisakis species in Korean waters was performed using an amplification-refractory mutation system (ARMS). ARMS is typically used to detect single nucleotide polymorphisms or allele types in the same species. However, the application of ARMS for species identification has not been reported. We designed a tetra-primer binding the internal transcribed spacer (ITS) region of 76 samples of Anisakis species and obtained reproducible results. ARMS revealed 380 bp and 130 bp ITS fragments in A. pegreffii, 380 bp and 280 bp fragments in A. simplex, a 130 bp fragments in A. typica and 380 bp, 280 bp and 130 bp fragments in an A. simplex - A. pegreffii hybrid. ARMS using a tetra-primer could be a more rapid, efficient, and reliable tool for monitoring Anisakis species more rapidly than restriction fragment length polymorphism."
30597218,Extracorporeal shock wave-assisted adipose-derived fresh stromal vascular fraction restores the blood flow of critical limb ischemia in rat.,"We tested the hypothesis that extracorporeal-shock-wave (ECSW)-assisted adipose-derived stromal vascular fraction (SVF) therapy was better than either one for restoring the blood flow in critical limb ischemia (CLI). Adult male-SD rats were categorized into group 1 (sham-operated-control), group 2 (CLI), group 3 [CLI + ECSW (280 impulses/0.10 mJ/mm<sup>2</sup>) applied to left inguinal area at 3 h after CLI], group 4 [CLI + SVF (1.2 × 10<sup>6</sup>) implanted into CLI area at 3 h after CLI], group 5 (CLI + ECSW-SVF). In vitro studies showed that ECSW significantly enhanced angiogenesis in human umbilical-vein endothelial cells and carotid-artery ring, and SVF significantly suppressed inflammation (TNF-α/NF-Κb/IL-1ß/MMP-9) in smooth-muscle cells treated by LPS (all p < .001). By day 14 after CLI, the ratio of ischemic/normal blood flow (INBF) was highest in group 1, lowest in group 2, significantly higher in group 5 than in groups 3 and 4, but no difference was shown between the latter two groups (all p < .001). The fibrotic area in CLI region exhibited an opposite pattern of INBF ratio (all p < .0001). Protein (CD31/vWF/eNOS) and cellular (CD31/vWF) expressions and number of small vessels in CLI area exhibited an identical pattern, whilst protein expressions of apoptotic (caspase3/PARP/mitochondrial-Bax) fibrotic/DNA-damaged (Samd3/TFG-ß/γ-H2AX) biomarkers exhibited an opposite pattern to INBF among five groups (all p < .0001). The numbers of angiogenetic cells in CLI region (SDF-1α/VEGF/CXCR4) and endothelial-progenitor cells (C-kit/CD31+//Sca-1/CD31+//CD34/KDR+/VE-cadherin/CD34+) in circulation significantly and progressively increased from groups 2 to 5 (all p < .0001). In conclusion, ECSW-SVF therapy effectively enhanced angiogenesis and restoration of blood flow in CLI area."
30597145,Endoscopic and histologic features associated with gastric cancer in familial adenomatous polyposis.,"Gastric cancer (GC) is a newly described cancer risk in Western patients with familial adenomatous polyposis (FAP). Little is known about clinical, endoscopic, and pathologic features associated with FAP-related GC. We compared these features in FAP patients with and without GC."
30597137,Serum total matrix Gla protein: Reference interval in healthy adults and variations in patients with vascular and osteoarticular diseases.,"Matrix Gla protein (MGP) species are inhibitors of ectopic calcification in vascular diseases (VD) and osteoarticular diseases (OD). Among the MGP assays, we aimed to establish the reference interval for serum total MGP (tMGP) in healthy adults, the variation in patients with VD and OD and the associations with common cardiovascular risk factors."
30597113,Trichuris trichiura.,Trichuris trichiura.
30597086,ECG triad of chronic kidney disease.,ECG triad of chronic kidney disease.
30597083,The eggs of Paragonimiasis westermani in bronchial lavage fluid.,The eggs of Paragonimiasis westermani in bronchial lavage fluid.
30597077,Predictors of fatigue and severe fatigue in a large international cohort of patients with systemic lupus erythematosus and a systematic review of the literature.,"Fatigue is reported in up to 90% of patients with SLE. This study was conducted to identify the determinants associated with fatigue in a large cohort of patients with SLE, as well as to provide a systematic review of the literature."
30597035,Reproducibility and Transportability of the Absence of Incremental Infectious Adverse Events in Patients With Higher Anti-TNF Drug Levels.,Reproducibility and Transportability of the Absence of Incremental Infectious Adverse Events in Patients With Higher Anti-TNF Drug Levels.
30597020,To the Editors: Index Severity Score and Early Readmission Predicts Increased Mortality in Crohn's Disease Patients.,To the Editors: Index Severity Score and Early Readmission Predicts Increased Mortality in Crohn's Disease Patients.
30596998,A subcutaneous fluid collection after the Bentall procedure in a female patient with giant cell arteritis.,"We report a 61-year-old woman with a history of untreated inflammatory symptoms, who underwent a Bentall procedure for a rapidly evolving aneurysm. Postoperatively, she presented with a sub-sternal pulsatile mass communicating with a periaortic collection. After excluding surgical and infectious complications, an inflammatory seroma due to an uncontrolled vasculitis was suspected. We proposed a non-surgical approach involving immunosuppressive therapy."
30596976,Cultural Differences Between Surgical and Medical Teams: Is it Time for Comanagement?,Cultural Differences Between Surgical and Medical Teams: Is it Time for Comanagement?
30596969,Inhibition of heat shock protein 70 blocks the development of cardiac hypertrophy by modulating the phosphorylation of histone deacetylase 2.,"Previously, we reported that phosphorylation of histone deacetylase 2 (HDAC2) and the resulting activation causes cardiac hypertrophy. Through further study of the specific binding partners of phosphorylated HDAC2 and their mechanism of regulation, we can better understand how cardiac hypertrophy develops. Thus, in the present study, we aimed to elucidate the function of one such binding partner, heat shock protein 70 (HSP70)."
30596900,The overall metastatic rate in early esophageal adenocarcinoma: long-time follow-up of surgically treated patients.,"The overall metastatic potential of surgically treated early esophageal adenocarcinoma has not been studied in detail. This paper therefore assessed lymph node metastases at surgery, loco regional and distant metastases, in order to assess the metastatic potential of early esophageal adenocarcinoma. Two hundred and seventeen patients (53 T1a, 164 T1b; median follow-ups 87 and 75 months, 187 males) diagnosed with early esophageal adenocarcinoma and treated with esophagectomy in our tertiary center's database between July 2000 and December 2015 were included. All metastatic events were retrospectively analyzed, their topographic distribution was assessed, and the overall metastatic rate was calculated. Lymph node metastases occurred in 39 patients (18%) and 29 (13.4%) developed recurrences. Lymph node metastases were absent in m1 and m2 tumors and rare in m3 (1/18), m4 (5/21), and sm1 (4/42), but more frequent in sm2 (11/44) and sm3 tumors (18/78). Locoregional recurrences were exceedingly rare in m3 (2/18), m4 (1/21), sm1 (1/42), and sm2 (2/44), but frequent in sm3 (12/78). In contrast, distant metastases were more frequent with 2/18 in m3, 1/21 in m4, 4/42 in sm1, 4/44 in sm2, and 13/78 in sm3. Overall metastatic rates of 11.9% in sm1 (submucosal layer divided into equal thirds), 27.3% in sm2, and 32.1% in sm3 tumors were calculated. This first report of the metastatic potential of early esophageal adenocarcinoma provides a meticulous assessment of the overall metastatic risk. Metastatic events pose a relevant risk in surgically treated patients with esophageal adenocarcinoma with distant metastases being more frequent than locoregional recurrences."
30596888,Corrigendum to: Single-nucleotide variants in human RNA: RNA editing and beyond.,Corrigendum to: Single-nucleotide variants in human RNA: RNA editing and beyond.
30596880,HER2 exon 20 insertions in non-small-cell lung cancer are sensitive to the irreversible pan-HER receptor tyrosine kinase inhibitor pyrotinib.,"Effective targeted therapy for non-small-cell lung cancer (NSCLC) patients with human epidermal growth factor receptor 2 (HER2) mutations remains an unmet need. This study investigated the antitumor effect of an irreversible pan-HER receptor tyrosine kinase inhibitor, pyrotinib."
30596878,The Apocalypse.,The Apocalypse.
30596870,Web Exclusive. Annals Graphic Medicine - Caring for Dying Patients: Visual Narratives From the Intensive Care Unit.,Web Exclusive. Annals Graphic Medicine - Caring for Dying Patients: Visual Narratives From the Intensive Care Unit.
30596843,"Pan-Asian adapted Clinical Practice Guidelines for the management of patients with metastatic non-small-cell lung cancer: a CSCO-ESMO initiative endorsed by JSMO, KSMO, MOS, SSO and TOS.","The most recent version of the European Society for Medical Oncology (ESMO) Clinical Practice Guidelines for the diagnosis, treatment and follow-up of metastatic non-small-cell lung cancer (NSCLC) was published in 2016. At the ESMO Asia Meeting in November 2017 it was decided by both ESMO and the Chinese Society of Clinical Oncology (CSCO) to convene a special guidelines meeting immediately after the Chinese Thoracic Oncology Group Annual Meeting 2018, in Guangzhou, China. The aim was to adapt the ESMO 2016 guidelines to take into account the ethnic differences associated with the treatment of metastatic NSCLC cancer in Asian patients. These guidelines represent the consensus opinions reached by experts in the treatment of patients with metastatic NSCLC representing the oncological societies of China (CSCO), Japan (JSMO), Korea (KSMO), Malaysia (MOS), Singapore (SSO) and Taiwan (TOS). The voting was based on scientific evidence, and was independent of both the current treatment practices and the drug availability and reimbursement situations in the six participating Asian countries. During the review process, the updated ESMO 2018 Clinical Practice Guidelines for metastatic NSCLC were released and were also considered, during the final stages of the development of the Pan-Asian adapted Clinical Practice Guidelines."
30596803,Validation of the Clinical Index of Stable Febrile Neutropenia (CISNE) model in febrile neutropenia patients visiting the emergency department. Can it guide emergency physicians to a reasonable decision on outpatient vs. inpatient treatment?,"Advances in oncology have enabled physicians to treat low-risk febrile neutropenia (FN) in outpatient settings. This study was aimed to explore the usefulness of the CISNE model and identify better triage in the emergency setting. This is a retrospective cohort study on 400 adult FN patients presenting to the Emergency Department of National Cancer Center, Korea from January 2010 to December 2016. All had been treated with cytotoxic chemotherapy for solid tumors in the previous 30 days. The primary outcome was the frequency of any serious complications during the duration of illness. Apparently stable patients numbered 299 (74.8%) of 400, and the remainder comprised clinically unstable patients. The stable patients fell into three cohorts according to the risk scores: CISNE I (low risk), 56 patients (18.7%); CISNE II (intermediate), 124 (41.5%) and CISNE III (high), 119 (39.8%). The primary outcome occurred in 10.7%, 19.4% and 33.6%, respectively, according to the cohort. Compared with the Multinational Association of Supportive Care in Cancer Risk Index Score (MASCC RIS), CISNE I stratum had significantly lower sensitivity (0.22 vs. 0.95 of MASCC low risk) but higher specificity (0.91 vs. 0.17) to predict zero occurrence of the primary outcome. The CISNE model was useful for identifying low-risk FN patients for outpatient treatment. The combination of the CISNE and MASCC RIS may help emergency physicians cope with FN more confidently."
30596757,Francisella induced microparticulate caspase-1/gasdermin-D activation is regulated by NLRP3 independent of Pyrin.,"Although the study of pathogen sensing by host defense systems continues to uncover a role for inflammasome components specific to particular pathogens, gaps remain in our knowledge. After internalization, Francisella escapes from the phagosome in mononuclear cells and is thought to be detected by intracellular pathogen-response-receptors pyrin and Aim2 in human and murine models, respectively. However, it remains controversial as to the role of pyrin in detecting Francisella. Our current work aims to study the contribution of inflammasome sensor, Pyrin in regulating microparticulate caspase-1/GSDM-D activation by Francisella. Our findings suggest that NLRP3 is central to the activation/release of active caspase-1/GSDM-D encapsulated in microparticles (MP) by Francisella. We also provide evidence that this regulation is independent of pyrin, implicated in sensing cytosolic Francisella in NLRP3-/- conditions where endogenous Pyrin is present. Absence of NLRP3 completely abrogated Francisella mediated MP caspase-1/GSDM-D activation and release both before and after internalization of the pathogen. However, deletion of pyrin not only enhanced both LPS and Francisella mediated MP active caspase-1/GSDM-D release, but pyrin overexpression resulted in a reduction of inflammasome activation and release; suggesting an inhibitory role of pyrin in LPS and Francisella mediated MP responses. This NLRP3 dependence and inhibitory effect of pyrin correlated with cytokine release as well. These observations also correlated with MPs ability to induce cell death; as LPS and Francisella-induced MPs from pyrin-deficient cells were more potent than wild-type monocytes whereas, NLRP3-/- MPs failed to induce cell death. Taken together, we report that NLPR3 not only mediates Francisella induced cytokine responses, but is also critical for cytokine-independent microparticle-induced inflammasome activation and endothelial cell injury independent of pyrin."
30596753,Anti-carbamylated protein antibodies and skin involvement in patients with systemic sclerosis: An intriguing association.,"Carbamylation is a post-translational modification that mostly affects proteins with low turnover, such as dermal proteins. Carbamylated proteins accumulate in skin in an age-dependent manner, contributing to tissue alterations. As dermis is affected by systemic sclerosis (SSc) and anti-carbamylated protein antibodies (anti-CarP Ab) are found in SSc patients, we sought to evaluate the specificity of anti-CarP Ab and their relationship with clinical parameters reflecting skin involvement in SSc. This study investigated serum samples and clinical data from 124 patients with SSc. Anti-CarP Ab were affinity purified from pooled SSc sera, and their specificity was assessed by western blotting and ELISA with carbamylated proteins from two species (human and bovine albumin; human fibrinogen). Anti-CarP Ab were measured in SSc serum samples and in 41 healthy aged-matched individuals. Affinity-purified anti-CarP Ab recognized carbamylated epitopes irrespective of the protein type or species origin. Anti-CarP Ab levels inversely correlated with the modified Rodnan skin score (mRss) (Spearman's R = -0.32, p<0.001), independently of patients' age. Receiver operating characteristics (ROC) analysis identified anti-CarP Ab cut-offs that best discriminated dichotomized clinical variables related to skin involvement: the only clinical variables that were significantly different between groups were mRss (p = 0.001) and scleredema (p<0.001). Low anti-CarP Ab levels were associated with worse skin involvement. Future prospective studies are needed to assess their usefulness in the clinical setting."
30596716,Better treatment outcomes in patients with actively treated therapy-related myeloid neoplasms harboring a normal karyotype.,"We analyzed treatment outcomes and prognostic factors in adult patients with therapy-related myeloid neoplasms (t-MNs) to select patients who would be benefited by active anticancer treatment. After excluding 18 patients who received palliative care only and 13 patients with acute promyelocytic leukemia, 72 t-MN patients (45 with acute myeloid leukemia and 27 with myelodysplastic syndrome) were retrospectively evaluated. Among them, 10 (13.9%), 32 (44.4%), and 30 patients (41.7%) had favorable, intermediate- and adverse-risk cytogenetics, respectively. Among patients with intermediate-risk cytogenetics, patients with a normal karyotype (NK; N = 20) showed superior allogeneic stem cell transplantation-censored overall survival (AC-OS) and OS compared to those with non-NK-intermediate-risk cytogenetics (P < 0.001). In the multivariate analysis, male sex, age ≥ 70 years, and unfavorable cytogenetics (non-NK-intermediate plus adverse risk cytogenetics) were associated with inferior AC-OS. Those results suggest that a more-refined subdivision of risk stratification would be necessary in patients with intermediate-risk cytogenetics."
30596704,Trends in South Korean antimicrobial use and association with changes in Escherichia coli resistance rates: 12-year ecological study using a nationwide surveillance and antimicrobial prescription database.,"The purpose of this study is to determine the correlation between use of antimicrobials, such as fluoroquinolone, cefoxitin, and cefotaxime, and Escherichia coli resistance using a nationwide database. Nationwide data on antimicrobial consumption for 12 years (2002 to 2013) were acquired from a database of subjects (n = 1,025,340) included in the National Health Insurance Service-National Sample Cohort. National antimicrobial resistance rates of E. coli were obtained from the Korean Antimicrobial Resistance Monitoring System, which has been administered by the Korean Centers for Disease Control and Prevention since 2002. Fluoroquinolone-resistance rates of E. coli isolated from general hospitals have continuously increased since 2002 and were correlated with nationwide fluoroquinolone use (r = 0.82, P = 0.0012) or ciprofloxacin use (r = 0.90, P<0.0001). Cefotaxime-resistance rates of E. coli isolated from general hospitals markedly increased since 2008 and were correlated with nationwide cefotaxime use (r = 0.94, P<0.0001) or third-generation cephalosporin use (r = 0.96, P<0.0001). Cefoxitin-resistance rates of E. coli isolated from general hospitals peaked in 2010 and significantly correlated with cephamycin use at a two-year interval (r = 0.64, P = 0.0256). In conclusion, consumption of antimicrobials such as fluoroquinolone, cefoxitin, and cefotaxime is well correlated with the resistance rates of E. coli to these agents. This study provides background data for national antimicrobial management policies to reduce antimicrobial resistance."
30596688,Evaluation of the revised sense of coherence scale in a representative German sample.,To evaluate the Revised Sense of Coherence (SOC-R) scale in a large representative German sample.
30596665,The immunological function of extracellular vesicles in hepatitis B virus-infected hepatocytes.,"Hepatitis B virus (HBV) generates large amounts of complete and incomplete viral particles. Except for the virion, which acts as infectious particles, the function of those particles remains elusive. Extracellular vesicles (EVs) have been revealed to have biological functions. The EVs which size are less than 100 nm in diameter, were collected from HBV infected-patients. These vesicles contain, complete and incomplete virions, and exosomes, which have been recently shown to be critical as intercellular communicators. Here, the effects of the exosome, the complete, and the incomplete particles on the target cells were investigated. These particles are endocytosed by monocyte/macrophages and function primarily to upregulate PD-L1. The functions and composition of the EVs were affected by nucleotide reverse transcriptase inhibitors (NRTIs), suggesting that the EVs are involved in the pathogenesis of HBV hepatitis and clinical course of those patients treated by NRTIs."
30596643,"Anti-CD137 monoclonal antibody enhances trastuzumab-induced, natural killer cell-mediated cytotoxicity against pancreatic cancer cell lines with low human epidermal growth factor-like receptor 2 expression.","Because human epidermal growth factor-like receptor (HER) 2 is expressed on the surface of human pancreatic carcinoma cells to varying degrees, trastuzumab, an anti-HER2 monoclonal antibody (mAb), is expected to exert antibody-dependent, natural killer (NK) cell-mediated cytotoxicity (ADCC) against the cells. However, some reports found that the effect of trastuzumab against human pancreatic carcinoma cells was limited because most express only limited HER2. We examined whether anti-CD137 stimulating mAb could enhance trastuzumab-mediated ADCC against Panc-1, a human pancreatic cancer cell line with low HER2 expression, in vitro. Supplementation of anti-CD137 mAb could improve trastuzumab-mediated ADCC against Panc-1 which was insufficient without this stimulating antibody. The ADCC differed in individual cells, and this was related to the expression of CD137 on the surface of NK cells after trastuzumab stimulation in association with the Fcγ-RIIIA polymorphism. NK cells with Fcγ-RIIIA-VV/VF showed high levels of ADCC against Panc-1, but those with Fcγ-RIIIA-FF did not show optimal ADCC. In addition, trastuzumab-mediated ADCC against the human pancreatic cancer cell line Capan-1 with high HER2 expression was generally high and not affected by the Fcγ-RIIIA polymorphism. These results demonstrated that in Fcγ-RIIIA-VV/VF-carrying healthy individuals, trastuzumab plus αCD137 mAb could induce effective ADCC against HER2-low-expressing pancreatic cancer cell lines, and that such an approach may result in similar findings in patients with pancreatic cancer."
30596639,Statistical investigations of protein residue direct couplings.,"Protein Direct Coupling Analysis (DCA), which predicts residue-residue contacts based on covarying positions within a multiple sequence alignment, has been remarkably effective. This suggests that there is more to learn from sequence correlations than is generally assumed, and calls for deeper investigations into DCA and perhaps into other types of correlations. Here we describe an approach that enables such investigations by measuring, as an estimated p-value, the statistical significance of the association between residue-residue covariance and structural interactions, either internal or homodimeric. Its application to thirty protein superfamilies confirms that direct coupling (DC) scores correlate with 3D pairwise contacts with very high significance. This method also permits quantitative assessment of the relative performance of alternative DCA methods, and of the degree to which they detect direct versus indirect couplings. We illustrate its use to assess, for a given protein, the biological relevance of alternative conformational states, to investigate the possible mechanistic implications of differences between these states, and to characterize subtle aspects of direct couplings. Our analysis indicates that direct pairwise correlations may be largely distinct from correlated patterns associated with functional specialization, and that the joint analysis of both types of correlations can yield greater power. Data, programs, and source code are freely available at http://evaldca.igs.umaryland.edu."
30596535,"Quercetin, a Plant Polyphenol, Has Potential for the Prevention of Bone Destruction in Rheumatoid Arthritis.","We investigated the immune-regulatory function of quercetin, in interleukin (IL)-17-produced osteoclastogenesis in rheumatoid arthritis (RA). RA fibroblasts-like synoviocytes (RA-FLS) were stimulated with IL-17, and the mRNA expression and secretion of receptor activator of nuclear factor kappa-B ligand (RANKL) were detected by real-time polymerase chain reaction and enzyme-linked immunosorbent assay, respectively. CD14<sup>+</sup> monocytes (osteoclast precursors) were stimulated with IL-17, RANKL, with/without quercetin, and tartrate-resistant acid phosphatase activity was evaluated to assess osteoclast differentiation. Osteoclast differentiation was investigated after coculturing IL-17-stimulated RA-FLS and Th17 cells with monocytes. CD4<sup>+</sup> T cells were cocultured with quercetin under Th17-inducing conditions, and their differentiation to Th17 cells and Treg cells was determined by flow cytometry analysis. We found that IL-17 stimulated RA-FLS to produce RANKL and quercetin decreased the IL-17-induced RANKL protein levels. Quercetin decreased the IL-17-produced activation of mammalian target of rapamycin, extracellular signal-regulated kinase and inhibitor of kappa B-alpha. When monocytes were stimulated with IL-17, macrophage colony-stimulating factor or RANKL, mature osteoclasts were formed, and quercetin decreased this osteoclastogenesis. When monocytes were cultured with IL-17-prestimulated RA-FLS or Th17 cells, osteoclasts were produced, and quercetin decreased this osteoclast differentiation. In Th17-differentiation conditions, quercetin suppressed Th17 cell and the production of IL-17, but quercetin did not affect Treg cells. Quercetin inhibits IL-17-stimulated RANKL production in RA-FLS and IL-17-stimulated osteoclast formation. Quercetin reduces Th17 differentiation. Quercetin could be an additional therapeutic option for bone destructive processes in RA."
30596514,Blenderized Tube Feedings for Adult Patients on Home Enteral Nutrition: A Pilot Study.,"Despite surveys indicating a high prevalence of blenderized tube feeding (BTF) as an alternative to commercial enteral nutrition (EN), there remains a paucity of data regarding use in clinical practice. The objective of the present open-label pilot study was to assess the safety and effectiveness of BTF in adult patients being given home enteral nutrition (HEN)."
30596467,Validation of the Brief Ageing Perceptions Questionnaire (B-APQ) in Malaysia.,The Brief Ageing Perceptions Questionnaire (B-APQ) has five domains that explore views about own ageing. The aim of this study was to validate the B-APQ for use among older adults in Malaysia and to explore socio-demographic variations in ageing self-perceptions.
